ID,Species class,Species,Name,Pileus Cap Width L,Pileus Cap Width R,Stipe Length L,Stipe Length R,Stipe Thickness L,Stipe Thickness R,Spores major axis L,Spores major axis R,Spores minor axis L,Spores minor axis R
1,0,Agaricus,moronii ,6,12,2,7,1.5,3,6,7.5,4,5
2,0,Agaricus,arorae,3,8,4,9,0.5,2.5,4.5,5,3,3.5
3,0,Agaricus,fissuratus,6,21,4,14,1,3.5,6.5,9,4.5,6
4,0,Agaricus,benesii ,4,8,5,11,1,2,5,6,3,4
5,0,Agaricus,bernardii,7,16,4,7,3,4.5,5.5,7,5.5,6.5
6,0,Agaricus,bisporus,5,12,2,5,1.5,2.5,6,8.5,4.5,6
7,0,Agaricus,bitorquis,5,15,4,10,2,4,5,6.5,4,5.5
8,0,Agaricus,californicus,4,11,3,7,0.4,1,5,7.5,4,5.5
9,0,Agaricus,campestris,5,10,3,6,1,2,5.5,8,3.5,5
10,0,Agaricus,comtulus,2.5,4,3,5,4,7,4,5,3,3.5
11,0,Agaricus,incultorum,2.5,6,1.5,3.5,1,1.5,7,8,5,6
12,0,Agaricus,diminutivus,1.5,2.5,3,6,2.5,3.5,4,5,3,4
13,0,Agaricus,brunneofibrillosus,4,15,4,15,1.5,2.5,5,6.5,3.5,4
14,0,Agaricus,fuscovelatus,3.5,8,4,10,1,2,7,8,5,6
15,0,Agaricus,hondensis,7,14,8,14,1.5,2.5,4,6,3,4.5
16,0,Agaricus,lilaceps,8,20,9,19,3,5,5,6.5,4,5
17,0,Agaricus,micromegathus,2.5,4,2.5,4.5,4,7,4.5,5,3,3.5
18,0,Agaricus,pattersonae,5,15,6,15,2.5,3.5,7,9,6,6.5
19,0,Agaricus,perobscurus,8,12,6,12,1.5,2,6.5,8,4.5,5
20,0,Agaricus,deardorffensis,7,19,8,15,2.5,3.5,4,6,3.5,4.5
21,0,Agaricus,smithii,7,12,5,12,2,3,7,9,5,5.5
22,0,Agaricus,subrufescens,6,13,6,12,1.5,2.5,5.5,6.5,4,4.5
23,0,Agaricus,subrutilescens,6,14,6,16,1,2,4,6,3.5,4.5
24,0,Agaricus,sylvicola,6,12,6,12,1.5,2,5.5,6.5,3.5,4
25,0,Agaricus,xanthodermus,5,17,4,14,1,3.5,5,6,4,4.5
26,1,Boletus,appendiculatus,7,14,5,9,3,6,11.5,13.5,3.5,4.5
27,1,Boletus,chyrsenteron,4,9,5,10,1,1.5,11.5,14,4,6
28,1,Boletus,citriniporus,4,8,4,7,1,3,12,13.5,3.75,4.5
29,1,Boletus,dryophilus,4,12,4,8,1,2.5,11.5,16,5,6.5
30,1,Boletus,abieticola,9,13,9,13,4,5,14,17.5,4.5,5.5
31,1,Boletus,amygdalinus,6,10,5,9,1,3,11.2,16,5.2,8
32,1,Boletus,fragans,6,15,4,10,1,3.5,13,17.5,5,7.8
33,1,Boletus,pulverulentus,5,8,4,7,1,2.5,14,17.5,4,6.5
34,1,Boletus,tomentipes,9,13,8,13,2.5,3.5,14,14,7,7
35,1,Boletus,spadiceus,4,10,5,15,1,2,9,11,4,5.5
36,1,Boletus,mendocinensis,7,10,10,11,1,1.5,15,21,4,5
37,1,Boletus,edulis,7,25,7,20,3,8,12,17,4,6
38,1,Boletus,flaviporus,6,11,6,12,1,2,12,15,5,6
39,1,Boletus,orovillus,8,15,5,9,2.5,4.5,5.5,6.5,3.5,4
40,1,Boletus,pulcherrimus,9,17,7,14,8,8,13,15.5,5,6
41,1,Boletus,regineus,7,14,7,13,3,4,11.5,13.5,3.5,4.5
42,1,Boletus,regius,8,15,5,9,3,4,13,15.5,4,5
43,1,Boletus,rex-veris,9,18,5,10,2,6,12.5,18,4,5
44,1,Boletus,rubripes,6,16,6,15,3,5,12,16.5,4.5,5.5
45,1,Boletus,smithii,7,15,7,15,3.5,7,13.5,16,4.5,5.5
46,1,Boletus,subtomentosus,4,12,4,8,1,2,10,15,4,5
47,1,Boletus,truncatus,5,10,5,10,1.5,2.5,12,15,4.5,6
48,1,Boletus,zelleri,4,11,5,10,1,3,11,15,4,6
49,2,Amanita,augusta,4,12,5,15,1,2,8,12,6,8
50,2,Amanita,calyptroderma,8,25,10,20,1.5,4,8,11,5,6
51,2,Amanita,constricta,6,12,9,17,1,2,9.5,11.5,8.5,10
52,2,Amanita,magniverrucata,7,14,6,12,4,4,9,11.5,6,8
53,2,Amanita,muscaria,6,39,7,16,2,3,9,13,6.5,9.5
54,2,Amanita,novinupta,5,14,6,12,1.5,3.5,7,8.5,5.5,6
55,2,Amanita,ocreata,5,13,10,22,1.5,3,9,12.5,7,9
56,2,Amanita,pachycolea,8,18,10,25,1,3,11.5,14,10,12
57,2,Amanita,pantherina,4,15,7,11,1,2.5,9.5,13,7,9.5
58,2,Amanita,phalloides,3.5,15,4,18,1,3,7,12,6,10
59,2,Amanita,protecta,4,14,5,15,1,3,10,12,8.5,10
60,2,Amanita,smithiana,7,14,7,17,2,4,10.5,12,6.5,9
61,2,Amanita,vaginata,5.5,10,6,13,1.2,2,8,11.5,7.5,10
62,2,Amanita,velosa,5,11,4,11,1,2.5,8.5,12,7,11
63,3,Clitocybe,albirhiza,2,9,2,6,0.5,1.2,5,6,2.5,3.5
64,3,Clitocybe,rivulosa,2,4,2,4,0.4,0.8,4,5,2,3
65,3,Clitocybe,deceptiva,1.2,5,1.5,4,0.3,0.5,6,7.5,3.5,4
66,3,Clitocybe,glacialis,2,6,2,6,1,1.5,5.5,7,3.5,4.5
67,3,Clitocybe,flaccida,2,9,3,7,0.4,0.6,4,4.5,3.4,3.4
68,3,Clitocybe,nebularis,5,25,5,15,1.5,4,5.5,8.5,3.5,4.5
69,3,Clitocybe,nuda,4,14,3,6.5,1,2.5,6,8,4,5
70,3,Clitocybe,sclerotoidea,1,3,1,4,0.4,0.8,7.5,10,3,3.5
71,3,Clitocybe,tarda,2,6,1.5,5,0.3,0.7,5.5,8,3.5,4
72,4,Cortinarius,croceus ,3,8,3,6,0.5,1,7,9,4,5
73,4,Cortinarius,californicus,3,8.5,8,15,0.5,1.5,7,9,4,4.5
74,4,Cortinarius,fuligineofolius,4,8.5,5.5,11,0.8,1.5,8.8,10.1,5.9,6.6
75,4,Cortinarius,glutinosoarmillatus,4,10,8,16,1.8,3,14,15,7.8,8.3
76,4,Cortinarius,largentii,6.5,14,7,10,2.7,5,8.8,10.9,4.7,5.8
77,4,Cortinarius,magnivelatus,4,8,3,6,1.5,3,10,13.5,5.5,7
78,4,Cortinarius, phoeniceus,3,8,4,7,0.6,1.2,6,7.5,4,4.5
79,4,Cortinarius,vanduzerensis,3.5,7,8,16,1,1.5,11,14.5,7,8.5
80,4,Cortinarius,pallidifolius,5,9,10,15,1,1.5,9,12,5,6.5
81,4,Cortinarius,citrinifolius,3,5.5,7,9,0.9,1.2,8,10,5.5,7
82,4,Cortinarius,rubicundulus,3.5,8,5,8,1,3,6,7.5,3.5,5
83,4,Cortinarius,sierraensis,2,4,2,5,0.4,0.6,7.5,9,5,5.5
84,4,Cortinarius,thiersii,1.5,5,3,5,0.4,1,7.7,10,4.7,5.8
85,4,Cortinarius,verrucisporus,3,7,1,3,1,2,11,13,7,8.5
86,4,Cortinarius,xanthodryophilus,4,10,4,8,2,3,9,12,5,6.5
87,5,Entoloma,medianox,5,13,5,11,1.5,3,7,8.5,6,7.5
88,5,Entoloma,cinereolamellatum,2,10,4.5,15,2,3,7.7,9.7,6.5,8.5
89,5,Entoloma,holoconiotum,2,6,3,6,0.3,0.6,8,11,6,7.5
90,5,Entoloma,lividoalbum,7,9,7,11,1.5,2.5,6.5,10,6.5,9
91,5,Entoloma,sericellum,1,4.5,2.5,5.5,0.4,0.8,9,11.5,7,8.5
92,5,Entoloma,subcarneum,4,7,5,10,0.7,1.5,9,12.5,6.5,9.5
93,6,Gyromitra,californica,5,12,4,8,2,4,13,18,8,10.5
94,6,Gyromitra,esculenta,5,9,3,6,1,3,18,23,9,12
95,6,Gyromitra,montana,5,10,2,8,3,7,25,35,12,16
96,6,Gyromitra,infula,3,8,2,6,1,2.5,17,20,7,9
97,6,Gyromitra,perlata,1.5,9,3,3,1,2.5,28,34,12,16
98,7,Hygrocybe,coccinea,2.5,5,2.5,5.5,0.5,1,7,9.5,4,5
99,7,Hygrocybe,conica,2,9,5,10,0.5,1,9,13,5,6.5
100,7,Hygrocybe,flavescens,2,6,3.5,7,0.7,1.2,7.5,9,4,5
101,7,Hygrocybe,flavifolia,1.5,3.5,2,4,0.4,0.6,7,9,4,5.5
102,7,Hygrocybe,miniata,1.5,3.5,2,4,0.3,0.5,6,9,4,6
103,7,Hygrocybe,psittacinus,1.5,4,4,9,0.3,0.5,8,10,5,6
104,7,Hygrocybe,punicea,4,12,3,14,0.5,2,8,11,5,6
105,7,Hygrocybe,singeri,2,5,4,14,0.5,1,9.5,11.5,5,6.5
106,8,Inocybe,adaequata,4,8,4,8,1,2,9,12,6,7.5
107,8,Inocybe,brunnescens,3,7,4,9,1,1.5,8,10.5,5,6
108,8,Inocybe,chelanensis,2,4,1.5,4,0.4,1.2,13,19,5.5,8
109,8,Inocybe,citrifolia,2,4,4.5,7,0.3,0.7,11.4,11.4,5.3,5.7
110,8,Inocybe,corydalina,4,6,4,9,1,2,7.5,11,5,6
111,8,Inocybe,flocculosa,2,7,3,8,0.3,1,10,12,5,5.5
112,8,Inocybe,fraudans,2.5,6.5,4,8,0.5,1.7,9,11.5,5.5,7
113,8,Inocybe,insinuata,2,4,2.5,5,0.3,0.6,7.5,9,4.5,5
114,8,Inocybe,pallidicrema,1.2,3,2.5,4,0.3,0.4,7.5,10.5,4.5,5
115,8,Inocybe,griseolilacina,1.5,3,2,4,0.4,0.7,8,10.5,4.5,6
116,8,Inocybe,pudica,2,4,2,4,0.5,0.8,7.5,10,4.5,5
117,8,Inocybe,sororium,2.5,6.5,4,10,0.3,0.8,10,14,6,8
118,8,Inocybe,subdestricta,2,4,2.5,5,0.25,0.5,8,10,5,5.5
119,9,Lactarius,aestivus,4.5,9.8,3,5.7,1.5,2.5,8.5,9.9,6.6,7.7
120,9,Lactarius,alnicola,6,13,2,5,1.5,2.5,7,10,6,8
121,9,Lactarius,rubidus,1.5,4.5,2,5,0.4,1,7.5,10,6,7
122,9,Lactarius,deliciosus,5,13,3,6,1.5,2.5,7.5,11,6,7.5
123,9,Lactarius,kauffmanii ,5,10,5,11,1.5,2.5,7.5,9.5,6.5,8
124,9,Lactarius,pallescens,5,11,4,8,1.2,2,9,10,7,8
125,9,Lactarius,pubescens,3,7,2.5,4,1.5,2,6.5,7.5,4,5
126,9,Lactarius,rubrilacteus,5,12,2,5,1,2.5,7,9,6,7.5
127,9,Lactarius,rubriviridus,3,6,4,5,0.5,0.7,8,10,7,8.5
128,9,Lactarius,xanthogalactus,4,11,3,6,1,2,7,8,6,6.5
129,9,Lactarius,fallax,3,9,2.5,6,0.8,1.5,9,12,8.5,11
130,10,Marasmius,armeniacus,0.4,1.2,1,3,0.5,0.5,8.5,10.5,3,4
131,10,Marasmius,calhouniae,1,3,1.5,4,0.2,0.5,9,10,3.5,4.5
132,10,Marasmius,copelandii,0.5,2,3,8,0.1,0.3,13,18,2.5,3.5
133,10,Marasmius,curreyi,0.4,0.8,1.5,3,0.1,0.1,9,12,4,5
134,10,Marasmius,oreades,1.5,4,2,6,0.2,0.5,7,8.5,4,5.5
135,10,Marasmius,plicatulus,1,4,5,11,0.15,0.35,11,14.5,5,6.5
136,10,Marasmius,quercophilus,0.2,0.5,1,2.5,0.1,0.1,7.5,9,3,4.5
137,11,Mycena,acicula,0.2,0.8,1,5,0.05,0.05,8.5,11.5,3,4
138,11,Mycena,tenerrima,0.2,0.4,0.4,1,0.01,0.09,8,10.5,4,6
139,11,Mycena,amicta,0.5,1.5,3,7,0.1,0.3,8,9.5,4,5
140,11,Mycena,aurantiomarginata,1,2,2.5,7,0.1,0.2,7.5,9,4,5.5
141,11,Mycena,californiensis,0.7,2,2,7,0.1,0.2,7.5,9,4,4.5
142,11,Mycena,capillaripes,1,2,4,6,0.1,0.2,8,11,4,6.5
143,11,Mycena,citrinomarginata,1,2,1,4,0.1,0.15,8,12.5,4,5.5
144,11,Mycena,galericulata,2,5,3,14,0.2,0.5,8.5,10.5,6,7.5
145,11,Mycena,galopus,0.5,2,4,7.5,0.1,0.2,9,13,5,6
146,11,Mycena,nivicola,1.5,3,2.5,9,0.2,0.3,8.5,11.5,5,6
147,11,Mycena,haematopus,1,3,2.5,7,0.2,0.3,7.5,9,4.5,5.5
148,11,Mycena,maculata,1.5,4,2,9,0.15,0.4,7.5,9.5,5,5.5
149,11,Mycena,oregonensis,0.2,0.8,1,2.5,0.01,0.09,6.5,8.5,3,3.5
150,11,Mycena,purpureofusca,0.7,3,3,7,0.1,0.4,7,10,5,6
151,12,Russula,albidula,5,8,3,6,1.5,2,6.5,9.5,6,7.5
152,12,Russula,basifurcata,4,7,3,7,1,3,7,9.5,6.5,8
153,12,Russula,brevipes,6,12,4,6,2,3,8,10.5,6.5,9
154,12,Russula,cerolens,4,11,3,7,1,2.5,7,8,5,6
155,12,Russula,densifolia,7,13,3,7.5,2,4,7,9.5,5.5,7
156,12,Russula,californiensis,7,14,4,8,1.5,3,8,10.5,6.5,8.5
157,12,Russula,cantharellicola,7,12,2,7.5,2.5,3.5,7.5,10,6.5,7
158,12,Russula,olivacea,8,16,8,13,2,3.5,8.5,10.5,7.5,9
159,12,Russula,queletii,4,7,2,7,1.5,2.5,6.5,9,6,7.5
160,12,Russula,sanguinea,4,10,5,10,1,2.5,7.8,9.5,6.5,8.5
161,12,Russula,abietina,3.3,9,2.6,7.5,1.4,2.5,7.5,9.5,6,8
162,12,Russula,adusta,5.5,10,2.7,4.8,1.8,2.3,6.5,9.5,5,7.5
163,12,Russula,albonigra,6.2,9,5,5,2,2,8.2,11,5.8,7.8
164,12,Russula,dissimulans,6,16,4,8.5,1.5,4,7.3,9.1,6,8.1
165,12,Russula,cascadensis,4,4.7,2.1,2.7,1.1,1.6,6.2,8.5,4.5,6
166,12,Russula, pectinata,2.9,11.1,2.4,6.9,0.7,2.4,6.8,9,4.8,7
167,12,Russula,granulata,4.7,8.6,5,7.6,1.4,2.2,5,8,4.2,6
168,12,Russula,brunneola,5.2,15,3.6,9,1.1,3.8,6,10,5.25,8
169,12,Russula,viscida,5.3,7.5,4.5,4.8,1.8,2.5,6.2,9.8,5.2,8.5
170,12,Russula,stuntzii,4,10.5,4.9,11.2,1.1,2.9,6.8,10,6.2,8.9
171,12,Russula,smithii,8,15,6,8,2,4.5,8,11.5,7.5,10
172,12,Russula,crassotunicata,3.2,8,1.9,7.5,0.7,2.6,8.3,11.5,6.3,10
173,12,Russula,pallescens,2.4,7,3.8,9,0.5,1.1,7,9,5.5,7
174,12,Russula,silvicola,4,9,4,10,1,3,6.7,10.5,5.7,8.6
175,13,Suillus,americanus,5,10,5,11,0.5,1,8,12,3.8,4.5
176,13,Suillus,brevipes,3.5,10,1.5,6,1.3,3.5,7.5,10,3,4.5
177,13,Suillus,caerulescens,6,13,2,7,1,3.5,6.5,9.5,3,4
178,13,Suillus,fuscotomentosus ,4,15,4,7,2,3.5,9.5,11.5,3.5,4.5
179,13,Suillus,acerbus,8,13.6,4,10,1.5,2.5,9.3,12,3.3,4
180,13,Suillus,albidipes,5,12,3,8,1,2.5,6.6,8.8,2.5,3
181,13,Suillus,borealis,7,11,2,4,1.5,2,6,8.5,3,5
182,13,Suillus,brunnescens,4,15,3,8,1,2.5,6.6,8.8,2.8,3.2
183,13,Suillus,californicus,6,9,3,6,1.5,2,7,8,3.5,5
184,13,Suillus,glandulosipes,6,12,4,11,1,2,6,9,3,4
185,13,Suillus,granulatus,5,12,4,8,1,2,7,9,2.5,3.5
186,13,Suillus,imitatus,4,12,3.5,6,1.5,2.5,7,9,4,4.5
187,13,Suillus,lithocarpi-sequoiae,7,14,8,11,2.2,3.3,7.5,9.8,3.2,3.8
188,13,Suillus,luteus,5,12,4,8,1,2.5,7,9,2.5,3
189,13,Suillus,monticolus,4,7,3,5,2,4,8.5,11.2,3,4
190,13,Suillus,pseudobrevipes,8,15,3,6,1,2,7,9,2.5,3.5
191,13,Suillus,punctatipes,6,16,3,5,1,2,7.5,9,3,4
192,13,Suillus,reticulatus,6,8,10,12,1,1.5,9,11,3,4
193,13,Suillus,riparius,5,12,3,8,0.5,1.5,8,11.5,3.2,5
194,13,Suillus,sibiricus,5,10,5,11,0.5,1,8,12,3.8,4.5
195,13,Suillus,subolivaceus,6.5,12,7,10,1,1.5,9,11,3,4
196,13,Suillus,quiescens,6,10,2,5,2,3,7,10,2,3
197,13,Suillus,lakei,4,12,3,7,1.5,2.5,7.5,10,3,4
198,13,Suillus,megaporinus,2,7,1,2,0.5,1,7,10,3.5,4
199,13,Suillus,ponderosus,9,25,9,14,3,6,8,10,3.8,5
200,13,Suillus,pungens,5,13,3,8,1.5,2,9,10,3,3.5
201,13,Suillus,tomentosus,5,11,5,9,1.5,3,8,11,3,4
202,13,Suillus,umbonatus,2,8,2,5,0.5,1,8,10,3.5,4
203,13,Suillus,volcanalis,8,15,4,6,2,4.5,7,10,3,3.5
204,14,Tricholoma,atroviolaceum,3.5,9,4,8,1.5,3,7.5,9,5,6
205,14,Tricholoma,dryophilum,5,15,6,13,1,4.5,5,6,4,4.25
206,14,Tricholoma,equestre,5,13,4,8,1.5,3,6,7.5,3.5,5
207,14,Tricholoma,focale,5,13.5,4.5,11,1.5,3,4.8,5.8,2.8,3.8
208,14,Tricholoma,fracticum,5,10,3,8,1.5,2.5,5.5,7.5,4,5.5
209,14,Tricholoma,griseoviolaceum,4,11,6,14,1,2,5,7,3.5,5
210,14,Tricholoma,imbricatum,6,15,5,10,2,3.5,5.5,7,4,5
211,14,Tricholoma,inamoenum,1.5,3,4,8,0.4,0.5,9.6,14.4,5.3,7.7
212,14,Tricholoma,moseri,2,4.5,2,5,0.5,1,6.5,10,3.5,5
213,14,Tricholoma,muricatum,5,12,3,6,1,3.5,4.5,6,3,3.5
214,14,Tricholoma,murrillianum,5,25,4,15,1,6,5,7,4.5,5.5
215,14,Tricholoma,murrillianum,5,10,7,12,1.5,2.5,6,9,4,6.5
216,14,Tricholoma,portentosum,5,12,6.5,15,1.5,2.8,5.3,8.6,3,5.8
217,14,Tricholoma,saponaceum,4,9,4.5,8,1.5,2,5,6.5,3.5,4.5
218,14,Tricholoma,scalpturatum,3,7,2,6,1,2,4.5,6,3,4
219,14,Tricholoma,sejunctum,3.5,7.5,4,9,1,1.5,5.3,8.2,3.8,6.2
220,14,Tricholoma,terreum,1.5,5,2.5,5,0.5,1,5,7.5,3.5,4.5
221,14,Tricholoma,vernaticum,4,14,5,13,2,3.5,8.5,11,4,6
222,15,Hygrophorus,agathosmus,3,7,4,7,1,2,7.5,9.5,4,5.5
223,15,Hygrophorus,caeruleus,4,8,3,5,1,2.5,6.5,8.5,4.5,5
224,15,Hygrophorus,chrysodon,3,7,2.5,7,0.5,1.3,8,10,4,5
225,15,Hygrophorus,gliocyclus,3,9,3,5,1.5,2.5,8.5,10,4.5,6
226,15,Hygrophorus,hypothejus,2.5,7,4,8,0.5,1.2,7.5,10,4,5
227,15,Hygrophorus,eburneus,2.5,7,4,12,0.5,1.5,6.5,8,3.5,5
228,15,Hygrophorus,pudorinus,6,14,12,15,1.5,2,7.5,10.5,5,6
229,15,Hygrophorus,purpurascens,4,11,2,9,1.5,2.5,5.5,7.5,3,4.5
230,15,Hygrophorus,subalpinus,6,12,4,10,3,5,7.5,10.5,4.5,5.5
231,15,Hygrophorus,pusillus,1,5,2,7,0.1,0.8,7,9,4,5
232,15,Hygrophorus,pudorinus,5,10,4,9,1,2,6.5,9.5,4,5.5
233,15,Hygrophorus,bakerensis,4,15,7,14,0.8,2.5,7,9,4.5,5
234,16,Leccinum,brunneum,6,10,8,15,1.5,3,15.5,19.5,4,5
235,16,Leccinum,discolor,8,12,7,9,1,2,15,19.5,4.5,6
236,16,Leccinum,largentii,8,15,10,12,1.5,3.5,13.3,17.1,4,6
237,16,Leccinum,manzanitae,5,18,9,17,2,4,13,17.5,4,5
238,16,Leccinum,scabrum,5,14,8,14,2,4,14,18,5,6
239,16,Leccinum,arbuticola,7,10.5,9,13,1,3.5,15,17.1,4.5,5.8
240,16,Leccinum,armeniacum,8,11,8,12,1.5,3,11,14.5,3.8,5
241,16,Leccinum,aurantiacum,8,15,10,17,2,3,12,13.5,3.5,4.5
242,16,Leccinum,californicum,5,7.5,5,8,1,1.5,14.5,17.5,5.5,6.5
243,16,Leccinum,constans,10,14,12,15,2,3,15.5,18,4,5
244,16,Leccinum,insigne,10,15,10,15,2,2.5,14,16.5,5,6.5
245,16,Leccinum,montanum,3,8,5,10,1,1.5,14,17.5,4,6
